iata,airport,city,state,country,lat,long
LEJ,Leipzig/Halle Airport,,,,51.423889,12.236389
SCN,Saarbrücken Airport,,,,49.214599609400004,7.10950994492
STR,Stuttgart Airport,,,,48.689899444599995,9.22196006775
TXL,Berlin-Tegel Airport,,,,52.5597,13.2877
HAJ,Hannover Airport,,,,52.461101532,9.685079574580001
BRE,Bremen Airport,,,,53.0475006104,8.78666973114
QEF,Frankfurt-Egelsbach Airport,,,,49.959999,8.645833
HHN,Frankfurt-Hahn Airport,,,,49.9487,7.26389
MHG,Mannheim-City Airport,,,,49.473057,8.514167
\N,Allendorf/Eder Airport,,,,51.03499984741211,8.680832862854004
\N,Worms Airport,,,,49.606945,8.368333
\N,Mainz-Finthen Airport,,,,49.967499,8.147222
EIB,Eisenach-Kindel Airport,,,,50.991604,10.47973
SGE,Siegerland Airport,,,,50.707698822021484,8.082969665527344
XFW,Hamburg-Finkenwerder Airport,,,,53.5352783203125,9.835556030273438
KEL,Kiel-Holtenau Airport,,,,54.37944412231445,10.145277976989746
LBC,Lübeck Blankensee Airport,,,,53.8054008484,10.7192001343
\N,Flugplatz Dahlemer Binz,,,,50.405555725,6.5288891792
\N,Meinerzhagen Airport,,,,51.099998474121094,7.599999904632568
\N,Arnsberg-Menden Airport,,,,51.483890533447266,7.8983330726623535
ESS,Essen Mulheim Airport,,,,51.40230178833008,6.9373297691345215
BFE,Bielefeld Airport,,,,51.964722,8.544444
MGL,Mönchengladbach Airport,,,,51.230278,6.504444
PAD,Paderborn Lippstadt Airport,,,,51.614101409899995,8.616319656369999
\N,Stadtlohn-Vreden Airport,,,,51.99583435058594,6.8405561447143555
DTM,Dortmund Airport,,,,51.51829910279999,7.61223983765
AGB,Augsburg Airport,,,,48.425278,10.931667
\N,Biberach a.d. Riß Airfield,,,,48.111111,9.762778
\N,Eggenfelden Airport,,,,48.39611053466797,12.723610877990723
\N,Mindelheim-Mattsies Airfield,,,,48.106945,10.525
OBF,Oberpfaffenhofen Airport,,,,48.081402,11.2831
RBM,Straubing Airport,,,,48.90083312988281,12.516667366027832
\N,Vilshofen Airport,,,,48.6349983215332,13.195555686950684
\N,Leutkirch-Unterzeil Airport,,,,47.858890533447266,10.014166831970215
FDH,Friedrichshafen Airport,,,,47.671298980699994,9.51148986816
SZW,Schwerin Parchim Airport,,,,53.426998,11.7834
\N,Stendal-Borstel Airport,,,,52.62888717651367,11.818611145019531
\N,Aalen-Heidenheim/Elchingen Airport,,,,48.77777862548828,10.264721870422363
BYU,Bayreuth Airport,,,,49.985001,11.64
URD,Burg Feuerstein Airport,,,,49.794166564941,11.133610725403
HOQ,Hof-Plauen Airport,,,,50.288612365722656,11.856389045715332
\N,Haßfurt-Schweinfurt Airport,,,,50.0180549621582,10.529443740844727
\N,Koblenz-Winningen Airfield,,,,50.325558,7.528611
\N,Trier-Föhren Airport,,,,49.863888,6.7875
\N,Speyer Airfield,,,,49.304722,8.451389
ZQW,Zweibrücken Airport,,,,49.2094,7.40056
ZQL,Donaueschingen-Villingen Airport,,,,47.97333145139999,8.52222156525
\N,Freiburg i. Br. Airport,,,,48.022777557400005,7.83249998093
\N,Mengen-Hohentengen Airport,,,,48.053890228271484,9.372777938842773
\N,Adolf Würth Airport,,,,49.1183319092,9.783888816829998
\N,Finsterwalde/Schacksdorf Airport,,,,51.607498,13.743611
BWE,Braunschweig-Wolfsburg Airport,,,,52.319199,10.5561
KSF,Kassel-Calden Airport,,,,51.417273,9.384967
\N,Hildesheim Airport,,,,52.18138885498047,9.946389198303223
BRV,Bremerhaven Airport,,,,53.506943,8.572778
EME,Emden Airport,,,,53.391109,7.2275
\N,Leer-Papenburg Airport,,,,53.271942138671875,7.441667079925537
WVN,Wilhelmshaven-Mariensiel Airport,,,,53.502220153808594,8.05222225189209
BMK,Borkum Airport,,,,53.59639,6.709167
NRD,Norderney Airport,,,,53.70694351196289,7.230000019073486
FLF,Flensburg-Schäferhaus Airport,,,,54.77333450317383,9.378889083862305
\N,Rendsburg-Schachtholm Airport,,,,54.220001220703125,9.599444389343262
GWT,Westerland Sylt Airport,,,,54.9132003784,8.34047031403
\N,Ämari Air Base,,,,59.26029968261719,24.208499908447266
KDL,Kärdla Airport,,,,58.99079895019531,22.830699920654297
URE,Kuressaare Airport,,,,58.22990036010742,22.50950050354004
EPU,Pärnu Airport,,,,58.41899871826172,24.47279930114746
TLL,Lennart Meri Tallinn Airport,,,,59.41329956049999,24.832799911499997
TAY,Tartu Airport,,,,58.3074989319,26.690399169900004
ENF,Enontekio Airport,,,,68.362602233887,23.424299240112
\N,Eura Airport,,,,61.1161003112793,22.201400756835938
KEV,Halli Airport,,,,61.856039,24.786686
HEM,Helsinki Malmi Airport,,,,60.254600524902344,25.042800903320312
HEL,Helsinki Vantaa Airport,,,,60.317199707031,24.963300704956
